2015/01/07 11:41:43 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-1 
2015/01/07 11:41:43 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : decriptor-user 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group decriptor-user. 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/07 11:41:43 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/01/07 11:41:43 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/07 11:41:43 INFO  - jmeter.threads.JMeterThread: Thread started: decriptor-user 2-1 
2015/01/07 11:41:43 INFO  - jmeter.threads.JMeterThread: Thread finished: decriptor-user 2-1 
2015/01/07 11:41:44 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-2 
2015/01/07 11:41:45 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-3 
2015/01/07 11:41:46 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-4 
2015/01/07 11:41:47 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-5 
2015/01/07 11:41:48 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-6 
2015/01/07 11:41:49 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-7 
2015/01/07 11:41:50 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-8 
2015/01/07 11:41:51 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-9 
2015/01/07 11:41:52 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-1 
2015/01/07 11:41:52 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-10 
2015/01/07 11:41:53 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-2 
2015/01/07 11:41:55 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-4 
2015/01/07 11:41:57 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-5 
2015/01/07 11:41:57 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-6 
2015/01/07 11:41:58 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-8 
2015/01/07 11:41:59 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-7 
2015/01/07 11:42:00 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-3 
2015/01/07 11:42:00 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-9 
2015/01/07 11:42:01 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-10 
2015/01/07 11:42:01 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/01/07 11:42:01 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
